ts_utc,venue,kind,symbol,mark,index,last,bid,ask,funding,funding_unit,oi,src_ts
2026-09-12T20:00:20Z,bingx,perp,XAUT-USDT,,,4349.51,,,,,,1789243219000
2026-09-12T20:00:21Z,lighter,perp,XAU,4355.48,4356.55,4355.27,,,,,4217.1112,
2026-09-12T20:01:20Z,binance,perp,XAUTUSDT,4348.61015314,4350.88186407,,4348.60,4348.61,0.00001815,per_8h,,1789243279000
2026-09-12T20:01:20Z,bybit,perp,XAUTUSDT,4349.80,4351.41,4349.80,4349.70,4349.80,0.00005,per_8h,112813402.74,1789257600000
2026-09-12T20:01:20Z,bitget,perp,XAUTUSDT,,,4348.29,4348.19,4348.2,,,,1789243280650
2026-09-12T20:01:20Z,bingx,perp,XAUT-USDT,,,4349.53,,,,,,1789243278000
2026-09-12T20:01:21Z,lighter,perp,XAU,4355.15,4356.48,4354.58,,,,,4219.2586,
2026-09-12T20:02:20Z,binance,perp,XAUTUSDT,4348.60230381,4350.84219278,,4348.60,4348.61,0.00001770,per_8h,,1789243339004
2026-09-12T20:02:20Z,bybit,perp,XAUTUSDT,4349.80,4351.41,4349.80,4349.70,4349.80,0.00005,per_8h,112818370.21,1789257600000
2026-09-12T20:02:20Z,bitget,perp,XAUTUSDT,,,4348.29,4348.19,4348.2,,,,1789243340726
2026-09-12T20:02:21Z,bingx,perp,XAUT-USDT,,,4349.53,,,,,,1789243339000
2026-09-12T20:02:21Z,lighter,perp,XAU,4354.88,4356.42,4354.37,,,,,4219.2586,
2026-09-12T20:02:21Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-12T20:02:21Z,hyperliquid,perp,PAXG,4354.85,,,4354.8,4354.9,,,,1789243341067
2026-09-12T20:03:20Z,binance,perp,XAUTUSDT,4347.88754431,4350.23678056,,4347.58,4347.59,0.00001728,per_8h,,1789243399000
2026-09-12T20:03:20Z,bybit,perp,XAUTUSDT,4348.57,4350.19,4348.30,4348.30,4348.40,0.00005,per_8h,112929336.30,1789257600000
2026-09-12T20:03:20Z,bitget,perp,XAUTUSDT,,,4348.07,4347.58,4347.59,,,,1789243400779
2026-09-12T20:03:21Z,bingx,perp,XAUT-USDT,,,4348.12,,,,,,1789243398000
2026-09-12T20:03:21Z,lighter,perp,XAU,4354.68,4356.35,4354.31,,,,,4220.5936,
2026-09-12T20:04:29Z,binance,perp,XAUTUSDT,4347.46076162,4349.89328021,,4347.46,4347.47,0.00001728,per_8h,,1789243465006
2026-09-12T20:04:39Z,bybit,perp,XAUTUSDT,4348.40,4349.69,4348.40,4348.30,4348.40,0.00005,per_8h,112933053.02,1789257600000
2026-09-12T20:04:44Z,bitget,perp,XAUTUSDT,,,4347.58,4347.15,4347.16,,,,1789243484472
2026-09-12T20:04:50Z,bingx,perp,XAUT-USDT,,,4348.14,,,,,,1789243487000
2026-09-12T20:04:51Z,lighter,perp,XAU,4354.43,4356.24,4354.13,,,,,4221.0969,
2026-09-13T08:16:40Z,binance,perp,XAUTUSDT,4346.83676745,4348.99735625,,4346.82,4346.83,0.00003183,per_8h,,1789287399006
2026-09-13T08:16:40Z,bybit,perp,XAUTUSDT,4346.61,4349.36,4346.60,4346.50,4346.60,-0.00002949,per_8h,114439877.86,1789300800000
2026-09-13T08:16:40Z,bitget,perp,XAUTUSDT,,,4346.83,4346.87,4346.88,,,,1789287400722
2026-09-13T08:16:41Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789287398000
2026-09-13T08:16:41Z,lighter,perp,XAU,4353.27,4353.38,4353.2,,,,,4427.3478,
2026-09-13T08:16:41Z,lighter,perp,PAXG,4353.28,4356.13,4352.6,,,,,365.107,
2026-09-13T08:16:41Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-13T08:16:41Z,hyperliquid,perp,PAXG,4353.85,,,4353.8,4353.9,,,,1789287401440
2026-09-13T08:16:41Z,variational,perp,XAUT,4345.963294955182,,,4345.01,4347.46,-0.049393,annualized_decimal,20513212.920688704131911200000,2026-09-13T08:15:21.429991143Z
2026-09-13T08:16:41Z,variational,perp,XAU,4356.036935013774,,,4354.88,4356.23,0,annualized_decimal,24964752.211662337194582640000,2026-09-13T08:15:33.405383851Z
2026-09-13T08:19:22Z,binance,perp,XAUTUSDT,4346.82816977,4348.98247169,,4346.82,4346.83,0.00003094,per_8h,,1789287561003
2026-09-13T08:19:22Z,bybit,perp,XAUTUSDT,4346.57,4349.35,4346.50,4346.50,4346.60,-0.00005782,per_8h,114438850.80,1789300800000
2026-09-13T08:19:22Z,bitget,perp,XAUTUSDT,,,4346.87,4346.84,4346.85,,,,1789287562541
2026-09-13T08:19:22Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789287562000
2026-09-13T08:19:23Z,lighter,perp,XAU,4353.29,4353.37,4353.22,,,,,4427.3512,
2026-09-13T08:19:23Z,lighter,perp,PAXG,4353.14,4355.95,4352.6,,,,,365.107,
2026-09-13T08:19:23Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-13T08:19:23Z,hyperliquid,perp,PAXG,4353.85,,,4353.8,4353.9,,,,1789287563294
2026-09-13T08:19:23Z,variational,perp,XAUT,4345.963294955182,,,4344.68,4347.14,-0.049393,annualized_decimal,20513212.920688704131911200000,2026-09-13T08:18:25.857546890Z
2026-09-13T08:19:23Z,variational,perp,XAU,4356.036935013774,,,4355.13,4356.48,0,annualized_decimal,24964752.211662337194582640000,2026-09-13T08:18:50.561120015Z
2026-09-13T08:21:32Z,binance,perp,XAUTUSDT,4346.83596262,4348.88646785,,4346.82,4346.83,0.00003018,per_8h,,1789287691000
2026-09-13T08:21:32Z,bybit,perp,XAUTUSDT,4346.51,4349.27,4346.50,4346.50,4346.60,-0.00007083,per_8h,114438774.98,1789300800000
2026-09-13T08:21:32Z,bitget,perp,XAUTUSDT,,,4346.87,4346.5,4346.51,,,,1789287692758
2026-09-13T08:21:33Z,bingx,perp,XAUT-USDT,,,4347.65,,,,,,1789287690000
2026-09-13T08:21:33Z,lighter,perp,XAU,4353.24,4353.36,4353,,,,,4427,
2026-09-13T08:21:33Z,lighter,perp,PAXG,4353.14,4355.94,4352.6,,,,,365.107,
2026-09-13T08:21:33Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-13T08:21:33Z,hyperliquid,perp,PAXG,4353.85,,,4353.8,4353.9,,,,1789287692982
2026-09-13T08:21:33Z,variational,perp,XAUT,4345.876389159681,,,4344.97,4347.43,-0.058082,annualized_decimal,20516851.933845919437368000000,2026-09-13T08:20:12.397989752Z
2026-09-13T08:21:33Z,variational,perp,XAU,4355.849843274293,,,4355.22,4356.57,0,annualized_decimal,24840341.072137934728194680000,2026-09-13T08:20:37.240307963Z
2026-09-13T08:22:32Z,binance,perp,XAUTUSDT,4346.82063182,4348.81867757,,4346.82,4346.83,0.00003018,per_8h,,1789287751000
2026-09-13T08:22:32Z,bybit,perp,XAUTUSDT,4346.60,4349.27,4346.60,4346.50,4346.60,-0.00007597,per_8h,114440292.65,1789300800000
2026-09-13T08:22:32Z,bitget,perp,XAUTUSDT,,,4346.87,4346.54,4346.55,,,,1789287752773
2026-09-13T08:22:33Z,bingx,perp,XAUT-USDT,,,4347.65,,,,,,1789287751000
2026-09-13T08:22:33Z,lighter,perp,XAU,4353.27,4353.36,4353,,,,,4427,
2026-09-13T08:22:33Z,lighter,perp,PAXG,4353.30,4355.88,4352.6,,,,,365.107,
2026-09-13T08:23:32Z,binance,perp,XAUTUSDT,4346.82000000,4348.81447682,,4346.82,4346.83,0.00002994,per_8h,,1789287812002
2026-09-13T08:23:32Z,bybit,perp,XAUTUSDT,4346.60,4349.27,4346.60,4346.50,4346.60,-0.00008047,per_8h,114431295.19,1789300800000
2026-09-13T08:23:33Z,bitget,perp,XAUTUSDT,,,4346.87,4346.63,4346.64,,,,1789287812903
2026-09-13T08:23:33Z,bingx,perp,XAUT-USDT,,,4347.65,,,,,,1789287810000
2026-09-13T08:23:33Z,lighter,perp,XAU,4353.26,4353.35,4353.47,,,,,4427,
2026-09-13T08:23:33Z,lighter,perp,PAXG,4353.30,4355.86,4352.6,,,,,365.107,
2026-09-13T08:24:32Z,binance,perp,XAUTUSDT,4346.81000000,4348.82030647,,4346.81,4346.82,0.00002974,per_8h,,1789287872002
2026-09-13T08:24:32Z,bybit,perp,XAUTUSDT,4346.60,4349.33,4346.60,4346.50,4346.60,-0.00008443,per_8h,114431895.02,1789300800000
2026-09-13T08:24:32Z,bitget,perp,XAUTUSDT,,,4346.87,4346.54,4346.55,,,,1789287872851
