ts_utc,open,high,low,close,vol
2026-09-06T07:51:00Z,4430.61,4430.61,4430.61,4430.61,0
2026-09-06T07:52:00Z,4430.61,4430.61,4430.61,4430.61,0
2026-09-06T07:53:00Z,4431.28,4431.28,4431.28,4431.28,0.0047
2026-09-06T07:54:00Z,4431.28,4432.26,4431.28,4432.26,0.731
2026-09-06T07:55:00Z,4432.26,4433,4432.26,4432.97,9.2709
2026-09-06T07:56:00Z,4432.97,4432.97,4432.15,4432.15,0.5606
2026-09-06T07:57:00Z,4432.15,4432.25,4432.1,4432.1,1
2026-09-06T07:58:00Z,4432.1,4432.1,4432.1,4432.1,0
2026-09-06T07:59:00Z,4432,4432,4431.71,4431.72,4
2026-09-06T08:00:00Z,4431.72,4432.05,4431.53,4432.05,2.0949
2026-09-06T08:01:00Z,4432.05,4432.07,4431.62,4431.91,3.4981999999999998
2026-09-06T08:02:00Z,4431.91,4432.04,4431.31,4431.81,2.9087
2026-09-06T08:03:00Z,4431.81,4431.81,4431.66,4431.66,0.0359
2026-09-06T08:04:00Z,4431.66,4431.66,4430.81,4431.45,1.907
2026-09-06T08:05:00Z,4431.45,4431.98,4431.25,4431.98,1.5755
2026-09-06T08:06:00Z,4431.98,4432.07,4431.81,4431.81,0.9831
2026-09-06T08:07:00Z,4431.81,4431.81,4431.81,4431.81,0
2026-09-06T08:08:00Z,4431.82,4431.82,4431.82,4431.82,0.1737
2026-09-06T08:09:00Z,4431.82,4431.82,4431.82,4431.82,0
2026-09-06T08:10:00Z,4431.82,4431.82,4431.82,4431.82,0
2026-09-06T08:11:00Z,4431.82,4431.82,4431.82,4431.82,0
2026-09-06T08:12:00Z,4431.69,4432.01,4431.47,4432.01,1.0475
2026-09-06T08:13:00Z,4432.01,4432.01,4431.64,4431.76,1.8886
2026-09-06T08:14:00Z,4431.76,4431.76,4431.76,4431.76,0
2026-09-06T08:15:00Z,4431.76,4431.76,4431.76,4431.76,0
2026-09-06T08:16:00Z,4431.81,4431.81,4431.24,4431.62,1.6528
2026-09-06T08:17:00Z,4431.62,4431.62,4430.82,4431,11.7831
2026-09-06T08:18:00Z,4431,4431,4431,4431,2.4937
2026-09-06T08:19:00Z,4431,4431,4430.64,4431,6.2439
2026-09-06T08:20:00Z,4431,4431,4430.49,4430.53,1.0366
2026-09-06T08:21:00Z,4430.53,4430.56,4430.53,4430.56,0.2166
2026-09-06T08:22:00Z,4430.56,4430.56,4430.38,4430.38,0.2276
2026-09-06T08:23:00Z,4430.38,4430.38,4430.38,4430.38,0
2026-09-06T08:24:00Z,4430.38,4430.38,4430.38,4430.38,0
2026-09-06T08:25:00Z,4430.44,4430.44,4430.44,4430.44,0.0045
2026-09-06T08:26:00Z,4430.44,4430.44,4430.44,4430.44,0
2026-09-06T08:27:00Z,4430.19,4430.19,4430.19,4430.19,0.0041
2026-09-06T08:28:00Z,4430.19,4430.19,4430.19,4430.19,0
2026-09-06T08:29:00Z,4430.42,4430.42,4430.19,4430.19,0.0112
2026-09-06T08:30:00Z,4430.19,4430.19,4430.19,4430.19,0
2026-09-06T08:31:00Z,4430.19,4430.19,4430.19,4430.19,0
2026-09-06T08:32:00Z,4430.94,4431.36,4430.81,4431.36,4.844
2026-09-06T08:33:00Z,4431.36,4431.52,4430.94,4431.44,8.6173
2026-09-06T08:34:00Z,4431.44,4431.44,4431.44,4431.44,0
2026-09-06T08:35:00Z,4431.44,4431.44,4431.44,4431.44,0
2026-09-06T08:36:00Z,4431.44,4431.44,4431.44,4431.44,0
2026-09-06T08:37:00Z,4431.63,4431.63,4431.63,4431.63,0.1806
2026-09-06T08:38:00Z,4431.63,4431.63,4431.63,4431.63,0
2026-09-06T08:39:00Z,4431.63,4431.63,4431.63,4431.63,0
2026-09-06T08:40:00Z,4432.25,4432.25,4432.25,4432.25,0.0065
2026-09-06T08:41:00Z,4432.25,4432.25,4432.25,4432.25,0.0809
2026-09-06T08:42:00Z,4432.25,4432.25,4431.89,4431.89,0.5623
2026-09-06T08:43:00Z,4431.89,4431.89,4431.89,4431.89,0
2026-09-06T08:44:00Z,4431.89,4431.89,4431.89,4431.89,0
2026-09-06T08:45:00Z,4431.89,4431.89,4431.89,4431.89,0
2026-09-06T08:46:00Z,4431.95,4431.95,4431.95,4431.95,0.0043
2026-09-06T08:47:00Z,4431.95,4432.09,4431.95,4432.09,0.0219
2026-09-06T08:48:00Z,4432.09,4432.35,4432,4432.04,1.1781
2026-09-06T08:49:00Z,4432.04,4432.32,4431.97,4432.07,0.8047
2026-09-06T08:50:00Z,4432.07,4432.07,4432.07,4432.07,0
2026-09-06T08:51:00Z,4432.07,4432.07,4432.07,4432.07,0
2026-09-06T08:52:00Z,4432.07,4432.07,4432.07,4432.07,0
2026-09-06T08:53:00Z,4432.07,4432.07,4432.07,4432.07,0
2026-09-06T08:54:00Z,4432.07,4432.07,4432.07,4432.07,0
2026-09-06T08:55:00Z,4433.03,4433.03,4433.03,4433.03,0.0219
2026-09-06T08:56:00Z,4433.03,4433.03,4433.03,4433.03,0
2026-09-06T08:57:00Z,4433.5,4433.5,4433.49,4433.49,1.2590999999999999
